lead_id,platform,comment_text,city,district,province,customer_type,housing_type,demand_signals,lead_score,lead_grade,contact_intent,urgency,status,created_at
PV_LEAD_6735C5D5,douyin,我家在成都郊区别墅，想装一套光伏系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,96,S,True,high,new,2026-07-19 17:19:36
PV_LEAD_6636CBC7,douyin,农村自建房想装光伏发电，大概多少钱？有补贴吗,重庆,,重庆,家庭用户,农村自建房,安装需求|价格咨询,67,A,True,medium,new,2026-07-19 17:19:36
PV_LEAD_D9D4EDF1,douyin,我家在成都郊区别墅，想装一套光伏系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,96,S,True,high,new,2026-07-19 17:27:46
PV_LEAD_2C727B86,douyin,农村自建房想装光伏发电，大概多少钱？有补贴吗,重庆,,重庆,家庭用户,农村自建房,安装需求|价格咨询,67,A,True,medium,new,2026-07-19 17:27:46
PV_LEAD_C0727DD1,douyin,我家在成都郊区别墅，想装一套光伏系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,98,S,True,high,new,2026-07-19 17:56:26
PV_LEAD_14B4CBB4,douyin,农村自建房想装光伏发电，大概多少钱？有补贴吗,重庆,,重庆,家庭用户,农村自建房,安装需求|价格咨询,68,A,True,medium,new,2026-07-19 17:56:26
PV_LEAD_A8917CB9,douyin,我家在成都锦江区别墅，想装一套光伏发电系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,98,S,True,high,new,2026-07-19 21:43:52
PV_LEAD_F12617D1,douyin,重庆渝北区别墅，屋顶面积大概120平，装一套大概多少钱？,重庆,,重庆,别墅用户,别墅,安装需求|价格咨询,81,S,True,high,new,2026-07-19 21:43:52
PV_LEAD_B3205C96,douyin,成都武侯区这边有没有安装过的？想装但是不知道找哪家靠谱,四川成都,,四川成都,家庭用户,普通住宅,安装需求|高意向,88,S,True,high,new,2026-07-19 21:43:52
PV_LEAD_0A041897,douyin,成都双流区叠拼，楼上楼下都有露台，装光伏效果好吗？能给个联系方式吗,四川成都,,四川成都,家庭用户,普通住宅,安装需求|高意向,88,S,True,high,new,2026-07-19 21:43:52
PV_LEAD_CA0D150A,douyin,四川德阳广汉的，家里独栋三层，想装光伏省点电费，收益到底怎么样？,四川德阳,,四川德阳,别墅用户,别墅,安装需求,60,A,False,medium,new,2026-07-19 21:43:52
PV_LEAD_E3A9D8A8,douyin,重庆南岸区，开民宿的，两层楼屋顶想全部铺光伏，能不能给个报价？,重庆,,重庆,家庭用户,普通住宅,价格咨询,71,A,True,medium,new,2026-07-19 21:43:52
PV_LEAD_FEC2757C,douyin,宜宾翠屏区别墅区，装了中央空调夏天电费太高了，光伏能不能解决问题？加个微信聊聊,四川宜宾,,四川宜宾,别墅用户,别墅,安装需求|高意向,96,S,True,high,new,2026-07-19 21:43:52
PV_LEAD_48020989,douyin,泸州龙马潭区的餐厅，两个店面屋顶加起来200平，想装光伏降成本，有做过的吗？,四川泸州,,四川泸州,家庭用户,普通住宅,安装需求,71,A,True,medium,new,2026-07-19 21:43:52
PV_LEAD_40EC761D,douyin,成都青羊区别墅刚装修完，想做光伏发电玻璃那种，感觉比传统板好看，能做吗？,四川成都,,四川成都,别墅用户,别墅,安装需求,68,A,False,medium,new,2026-07-19 21:43:52
PV_LEAD_6C57E88E,douyin,我家在成都锦江区别墅，想装一套光伏发电系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,98,S,True,high,new,2026-07-19 22:00:21
PV_LEAD_E45141CB,douyin,重庆渝北区别墅，屋顶面积大概120平，装一套大概多少钱？,重庆,,重庆,别墅用户,别墅,安装需求|价格咨询,81,S,True,high,new,2026-07-19 22:00:21
PV_LEAD_1A270E63,douyin,成都武侯区这边有没有安装过的？想装但是不知道找哪家靠谱,四川成都,,四川成都,家庭用户,普通住宅,安装需求|高意向,88,S,True,high,new,2026-07-19 22:00:21
PV_LEAD_BDA16316,douyin,成都双流区叠拼，楼上楼下都有露台，装光伏效果好吗？能给个联系方式吗,四川成都,,四川成都,别墅用户,高价值住宅,安装需求|高意向,98,S,True,high,new,2026-07-19 22:00:21
PV_LEAD_9237E332,kuaishou,重庆江津的阳光房可以装光伏吗？夏天太阳太大了，正好遮阳还能发电,重庆,,重庆,别墅用户,高价值住宅,安装需求,66,A,False,medium,new,2026-07-19 22:00:21
PV_LEAD_2AAD5080,xiaohongshu,成都郫都区花园洋房，一楼带院子能装光伏吗？想装在地面,四川成都,,四川成都,别墅用户,高价值住宅,安装需求,68,A,False,medium,new,2026-07-19 22:00:21
PV_LEAD_CF34F881,douyin,四川德阳广汉的，家里独栋三层，想装光伏省点电费，收益到底怎么样？,四川德阳,,四川德阳,别墅用户,别墅,安装需求,60,A,False,medium,new,2026-07-19 22:00:21
PV_LEAD_CB5E3EFF,douyin,重庆南岸区，开民宿的，两层楼屋顶想全部铺光伏，能不能给个报价？,重庆,,重庆,小商业用户,商业建筑,价格咨询,79,A,True,medium,new,2026-07-19 22:00:21
PV_LEAD_DB74DCC6,xiaohongshu,成都高新区住宅，家里跃层带露台，想装光伏发电顺便给露台做遮阳，有推荐的吗？,四川成都,,四川成都,别墅用户,高价值住宅,安装需求,68,A,False,medium,new,2026-07-19 22:00:21
PV_LEAD_C7BEAAD9,douyin,宜宾翠屏区别墅区，装了中央空调夏天电费太高了，光伏能不能解决问题？加个微信聊聊,四川宜宾,,四川宜宾,别墅用户,别墅,安装需求|高意向,96,S,True,high,new,2026-07-19 22:00:21
PV_LEAD_C81499C5,douyin,成都温江区叠拼上叠，楼顶露台50平，装光伏大概多久能回本？,四川成都,,四川成都,别墅用户,高价值住宅,安装需求,68,A,False,medium,new,2026-07-19 22:00:22
PV_LEAD_F09E264D,douyin,南充顺庆区的小酒店，旺季电费一个月两万，装光伏划不划算？求真实数据,四川南充,,四川南充,小商业用户,商业建筑,安装需求,64,A,False,medium,new,2026-07-19 22:00:22
PV_LEAD_CD1198D3,douyin,泸州龙马潭区的餐厅，两个店面屋顶加起来200平，想装光伏降成本，有做过的吗？,四川泸州,,四川泸州,小商业用户,商业建筑,安装需求,79,A,True,medium,new,2026-07-19 22:00:22
PV_LEAD_327E4981,douyin,成都青羊区别墅刚装修完，想做光伏发电玻璃那种，感觉比传统板好看，能做吗？,四川成都,,四川成都,别墅用户,别墅,安装需求,68,A,False,medium,new,2026-07-19 22:00:22
PV_LEAD_8694641D,douyin,我家在成都锦江区别墅，想装一套光伏发电系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:02:18
PV_LEAD_13FF7BBC,douyin,重庆渝北区别墅，屋顶面积大概120平，装一套大概多少钱？,重庆,,重庆,别墅用户,别墅,安装需求|价格咨询,85,S,True,high,new,2026-07-19 22:02:18
PV_LEAD_BCF35637,xiaohongshu,贵阳花溪区别墅可以装吗？我们小区好像没看到装过的，担心物业不同意,贵州贵阳,,贵州贵阳,别墅用户,别墅,安装需求,60,A,False,medium,new,2026-07-19 22:02:18
PV_LEAD_9A015B89,douyin,成都武侯区这边有没有安装过的？想装但是不知道找哪家靠谱,四川成都,,四川成都,家庭用户,普通住宅,安装需求|高意向,90,S,True,high,new,2026-07-19 22:02:18
PV_LEAD_9E09198B,douyin,绵阳涪城区的自建房，屋顶差不多80平，有没有师傅可以上门看看,四川绵阳,,四川绵阳,家庭用户,农村自建房,,62,A,False,medium,new,2026-07-19 22:02:18
PV_LEAD_F0C7C024,douyin,成都双流区叠拼，楼上楼下都有露台，装光伏效果好吗？能给个联系方式吗,四川成都,,四川成都,别墅用户,高价值住宅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:02:19
PV_LEAD_DEE8D5A5,kuaishou,重庆江津的阳光房可以装光伏吗？夏天太阳太大了，正好遮阳还能发电,重庆,,重庆,别墅用户,高价值住宅,安装需求,70,A,False,medium,new,2026-07-19 22:02:19
PV_LEAD_B79A1F25,xiaohongshu,成都郫都区花园洋房，一楼带院子能装光伏吗？想装在地面,四川成都,,四川成都,别墅用户,高价值住宅,安装需求,70,A,False,medium,new,2026-07-19 22:02:19
PV_LEAD_3C253287,douyin,四川德阳广汉的，家里独栋三层，想装光伏省点电费，收益到底怎么样？,四川德阳,,四川德阳,别墅用户,别墅,安装需求,70,A,False,medium,new,2026-07-19 22:02:19
PV_LEAD_2B2866D8,douyin,重庆南岸区，开民宿的，两层楼屋顶想全部铺光伏，能不能给个报价？,重庆,,重庆,小商业用户,商业建筑,价格咨询,83,S,True,high,new,2026-07-19 22:02:19
PV_LEAD_081AF706,douyin,贵阳观山湖区开棋牌室的，电费一个月五六千吃不消，光伏能省多少？,贵州贵阳,,贵州贵阳,小商业用户,普通住宅,,68,A,False,medium,new,2026-07-19 22:02:19
PV_LEAD_40462990,xiaohongshu,成都高新区住宅，家里跃层带露台，想装光伏发电顺便给露台做遮阳，有推荐的吗？,四川成都,,四川成都,别墅用户,高价值住宅,安装需求,70,A,False,medium,new,2026-07-19 22:02:19
PV_LEAD_58881045,douyin,宜宾翠屏区别墅区，装了中央空调夏天电费太高了，光伏能不能解决问题？加个微信聊聊,四川宜宾,,四川宜宾,别墅用户,别墅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:02:19
PV_LEAD_0CCFB70E,kuaishou,遵义红花岗区的自建房准备重新装修，想顺便把光伏装了，不知道好不好维护,贵州遵义,,贵州遵义,家庭用户,农村自建房,安装需求,62,A,False,medium,new,2026-07-19 22:02:19
PV_LEAD_5EA7EE75,douyin,成都温江区叠拼上叠，楼顶露台50平，装光伏大概多久能回本？,四川成都,,四川成都,别墅用户,高价值住宅,安装需求,70,A,False,medium,new,2026-07-19 22:02:19
PV_LEAD_D2EB56FD,douyin,南充顺庆区的小酒店，旺季电费一个月两万，装光伏划不划算？求真实数据,四川南充,,四川南充,小商业用户,商业建筑,安装需求,68,A,False,medium,new,2026-07-19 22:02:19
PV_LEAD_9615E7F2,xiaohongshu,重庆渝中区高层住宅，开发商说屋顶可以用，想装光伏但完全不懂，求科普,重庆,,重庆,家庭用户,普通住宅,安装需求,60,A,False,medium,new,2026-07-19 22:02:19
PV_LEAD_089DD5BE,douyin,泸州龙马潭区的餐厅，两个店面屋顶加起来200平，想装光伏降成本，有做过的吗？,四川泸州,,四川泸州,小商业用户,商业建筑,安装需求,83,S,True,high,new,2026-07-19 22:02:19
PV_LEAD_94C8845E,douyin,成都青羊区别墅刚装修完，想做光伏发电玻璃那种，感觉比传统板好看，能做吗？,四川成都,,四川成都,别墅用户,别墅,安装需求,70,A,False,medium,new,2026-07-19 22:02:19
PV_LEAD_DBE964F6,douyin,我家在成都锦江区别墅，想装一套光伏发电系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:07:47
PV_LEAD_6E5FF1ED,douyin,重庆渝北区别墅，屋顶面积大概120平，装一套大概多少钱？,重庆,,重庆,别墅用户,别墅,安装需求|价格咨询,85,S,True,high,new,2026-07-19 22:07:47
PV_LEAD_696CF5F8,xiaohongshu,贵阳花溪区别墅可以装吗？我们小区好像没看到装过的，担心物业不同意,贵州贵阳,,贵州贵阳,别墅用户,别墅,安装需求,60,A,False,medium,new,2026-07-19 22:07:47
PV_LEAD_11D67A6B,douyin,成都武侯区这边有没有安装过的？想装但是不知道找哪家靠谱,四川成都,,四川成都,家庭用户,普通住宅,安装需求|高意向,90,S,True,high,new,2026-07-19 22:07:47
PV_LEAD_E8B9E5BD,douyin,绵阳涪城区的自建房，屋顶差不多80平，有没有师傅可以上门看看,四川绵阳,,四川绵阳,家庭用户,农村自建房,,62,A,False,medium,new,2026-07-19 22:07:47
PV_LEAD_61FCD86F,douyin,成都双流区叠拼，楼上楼下都有露台，装光伏效果好吗？能给个联系方式吗,四川成都,,四川成都,别墅用户,高价值住宅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:07:47
PV_LEAD_85EF7D83,kuaishou,重庆江津的阳光房可以装光伏吗？夏天太阳太大了，正好遮阳还能发电,重庆,,重庆,别墅用户,高价值住宅,安装需求,70,A,False,medium,new,2026-07-19 22:07:47
PV_LEAD_544BC467,xiaohongshu,成都郫都区花园洋房，一楼带院子能装光伏吗？想装在地面,四川成都,,四川成都,别墅用户,高价值住宅,安装需求,70,A,False,medium,new,2026-07-19 22:07:47
PV_LEAD_F23ED84E,douyin,四川德阳广汉的，家里独栋三层，想装光伏省点电费，收益到底怎么样？,四川德阳,,四川德阳,别墅用户,别墅,安装需求,70,A,False,medium,new,2026-07-19 22:07:47
PV_LEAD_CD8EC2BF,douyin,重庆南岸区，开民宿的，两层楼屋顶想全部铺光伏，能不能给个报价？,重庆,,重庆,小商业用户,商业建筑,价格咨询,83,S,True,high,new,2026-07-19 22:07:47
PV_LEAD_0E1CB844,douyin,贵阳观山湖区开棋牌室的，电费一个月五六千吃不消，光伏能省多少？,贵州贵阳,,贵州贵阳,小商业用户,普通住宅,,68,A,False,medium,new,2026-07-19 22:07:47
PV_LEAD_4A985DDA,xiaohongshu,成都高新区住宅，家里跃层带露台，想装光伏发电顺便给露台做遮阳，有推荐的吗？,四川成都,,四川成都,别墅用户,高价值住宅,安装需求,70,A,False,medium,new,2026-07-19 22:07:47
PV_LEAD_C8B59360,douyin,宜宾翠屏区别墅区，装了中央空调夏天电费太高了，光伏能不能解决问题？加个微信聊聊,四川宜宾,,四川宜宾,别墅用户,别墅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:07:47
PV_LEAD_EA4B4EC6,kuaishou,遵义红花岗区的自建房准备重新装修，想顺便把光伏装了，不知道好不好维护,贵州遵义,,贵州遵义,家庭用户,农村自建房,安装需求,62,A,False,medium,new,2026-07-19 22:07:47
PV_LEAD_86AAACBE,douyin,成都温江区叠拼上叠，楼顶露台50平，装光伏大概多久能回本？,四川成都,,四川成都,别墅用户,高价值住宅,安装需求,70,A,False,medium,new,2026-07-19 22:07:47
PV_LEAD_14F26E72,douyin,南充顺庆区的小酒店，旺季电费一个月两万，装光伏划不划算？求真实数据,四川南充,,四川南充,小商业用户,商业建筑,安装需求,68,A,False,medium,new,2026-07-19 22:07:47
PV_LEAD_ECEA71DA,xiaohongshu,重庆渝中区高层住宅，开发商说屋顶可以用，想装光伏但完全不懂，求科普,重庆,,重庆,家庭用户,普通住宅,安装需求,60,A,False,medium,new,2026-07-19 22:07:47
PV_LEAD_18C69F60,douyin,泸州龙马潭区的餐厅，两个店面屋顶加起来200平，想装光伏降成本，有做过的吗？,四川泸州,,四川泸州,小商业用户,商业建筑,安装需求,83,S,True,high,new,2026-07-19 22:07:47
PV_LEAD_50597FC4,douyin,成都青羊区别墅刚装修完，想做光伏发电玻璃那种，感觉比传统板好看，能做吗？,四川成都,,四川成都,别墅用户,别墅,安装需求,70,A,False,medium,new,2026-07-19 22:07:47
PV_LEAD_5183B54D,douyin,我家在成都锦江区别墅，想装一套光伏发电系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:12:33
PV_LEAD_E7A0C953,douyin,重庆渝北区别墅，屋顶面积大概120平，装一套大概多少钱？,重庆,,重庆,别墅用户,别墅,安装需求|价格咨询,85,S,True,high,new,2026-07-19 22:12:33
PV_LEAD_09ACFE17,xiaohongshu,贵阳花溪区别墅可以装吗？我们小区好像没看到装过的，担心物业不同意,贵州贵阳,,贵州贵阳,别墅用户,别墅,安装需求,60,A,False,medium,new,2026-07-19 22:12:33
PV_LEAD_5CC78578,douyin,我家在成都锦江区别墅，想装一套光伏发电系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:12:33
PV_LEAD_229338F5,douyin,重庆渝北区别墅，屋顶面积大概120平，装一套大概多少钱？,重庆,,重庆,别墅用户,别墅,安装需求|价格咨询,85,S,True,high,new,2026-07-19 22:12:33
PV_LEAD_72D7A27D,xiaohongshu,贵阳花溪区别墅可以装吗？我们小区好像没看到装过的，担心物业不同意,贵州贵阳,,贵州贵阳,别墅用户,别墅,安装需求,60,A,False,medium,new,2026-07-19 22:12:33
PV_LEAD_ED741582,douyin,成都武侯区这边有没有安装过的？想装但是不知道找哪家靠谱,四川成都,,四川成都,家庭用户,普通住宅,安装需求|高意向,90,S,True,high,new,2026-07-19 22:12:33
PV_LEAD_AA15051C,douyin,绵阳涪城区的自建房，屋顶差不多80平，有没有师傅可以上门看看,四川绵阳,,四川绵阳,家庭用户,农村自建房,,62,A,False,medium,new,2026-07-19 22:12:33
PV_LEAD_BB5976D1,douyin,成都双流区叠拼，楼上楼下都有露台，装光伏效果好吗？能给个联系方式吗,四川成都,,四川成都,别墅用户,高价值住宅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:12:33
PV_LEAD_6A014FF3,kuaishou,重庆江津的阳光房可以装光伏吗？夏天太阳太大了，正好遮阳还能发电,重庆,,重庆,别墅用户,高价值住宅,安装需求,70,A,False,medium,new,2026-07-19 22:12:33
PV_LEAD_ADE46D49,xiaohongshu,成都郫都区花园洋房，一楼带院子能装光伏吗？想装在地面,四川成都,,四川成都,别墅用户,高价值住宅,安装需求,70,A,False,medium,new,2026-07-19 22:12:33
PV_LEAD_24BD04EC,douyin,四川德阳广汉的，家里独栋三层，想装光伏省点电费，收益到底怎么样？,四川德阳,,四川德阳,别墅用户,别墅,安装需求,70,A,False,medium,new,2026-07-19 22:12:33
PV_LEAD_176E95BA,douyin,重庆南岸区，开民宿的，两层楼屋顶想全部铺光伏，能不能给个报价？,重庆,,重庆,小商业用户,商业建筑,价格咨询,83,S,True,high,new,2026-07-19 22:12:33
PV_LEAD_5A08F191,douyin,贵阳观山湖区开棋牌室的，电费一个月五六千吃不消，光伏能省多少？,贵州贵阳,,贵州贵阳,小商业用户,普通住宅,,68,A,False,medium,new,2026-07-19 22:12:33
PV_LEAD_4B463DD7,xiaohongshu,成都高新区住宅，家里跃层带露台，想装光伏发电顺便给露台做遮阳，有推荐的吗？,四川成都,,四川成都,别墅用户,高价值住宅,安装需求,70,A,False,medium,new,2026-07-19 22:12:34
PV_LEAD_B63E0792,douyin,宜宾翠屏区别墅区，装了中央空调夏天电费太高了，光伏能不能解决问题？加个微信聊聊,四川宜宾,,四川宜宾,别墅用户,别墅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:12:34
PV_LEAD_3B8D503B,kuaishou,遵义红花岗区的自建房准备重新装修，想顺便把光伏装了，不知道好不好维护,贵州遵义,,贵州遵义,家庭用户,农村自建房,安装需求,62,A,False,medium,new,2026-07-19 22:12:34
PV_LEAD_72D21473,douyin,成都温江区叠拼上叠，楼顶露台50平，装光伏大概多久能回本？,四川成都,,四川成都,别墅用户,高价值住宅,安装需求,70,A,False,medium,new,2026-07-19 22:12:34
PV_LEAD_A0AC96C1,douyin,南充顺庆区的小酒店，旺季电费一个月两万，装光伏划不划算？求真实数据,四川南充,,四川南充,小商业用户,商业建筑,安装需求,68,A,False,medium,new,2026-07-19 22:12:34
PV_LEAD_C29A51B7,xiaohongshu,重庆渝中区高层住宅，开发商说屋顶可以用，想装光伏但完全不懂，求科普,重庆,,重庆,家庭用户,普通住宅,安装需求,60,A,False,medium,new,2026-07-19 22:12:34
PV_LEAD_F227EA31,douyin,泸州龙马潭区的餐厅，两个店面屋顶加起来200平，想装光伏降成本，有做过的吗？,四川泸州,,四川泸州,小商业用户,商业建筑,安装需求,83,S,True,high,new,2026-07-19 22:12:34
PV_LEAD_91477B8B,douyin,成都青羊区别墅刚装修完，想做光伏发电玻璃那种，感觉比传统板好看，能做吗？,四川成都,,四川成都,别墅用户,别墅,安装需求,70,A,False,medium,new,2026-07-19 22:12:34
PV_LEAD_09459DED,douyin,我家在成都锦江区别墅，想装一套光伏发电系统，能报个价吗？电话联系138xxxx,四川成都,,四川成都,别墅用户,别墅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:21:39
PV_LEAD_CEA7051D,douyin,重庆渝北区别墅，屋顶面积大概120平，装一套大概多少钱？,重庆,,重庆,别墅用户,别墅,安装需求|价格咨询,85,S,True,high,new,2026-07-19 22:21:39
PV_LEAD_298E614C,xiaohongshu,贵阳花溪区别墅可以装吗？我们小区好像没看到装过的，担心物业不同意,贵州贵阳,,贵州贵阳,别墅用户,别墅,安装需求,60,A,False,medium,new,2026-07-19 22:21:39
PV_LEAD_6E0FAB9F,douyin,成都武侯区这边有没有安装过的？想装但是不知道找哪家靠谱,四川成都,,四川成都,家庭用户,普通住宅,安装需求|高意向,90,S,True,high,new,2026-07-19 22:21:39
PV_LEAD_7DD9780E,douyin,绵阳涪城区的自建房，屋顶差不多80平，有没有师傅可以上门看看,四川绵阳,,四川绵阳,家庭用户,农村自建房,,62,A,False,medium,new,2026-07-19 22:21:39
PV_LEAD_334E9801,douyin,成都双流区叠拼，楼上楼下都有露台，装光伏效果好吗？能给个联系方式吗,四川成都,,四川成都,别墅用户,高价值住宅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:21:39
PV_LEAD_C64129E5,kuaishou,重庆江津的阳光房可以装光伏吗？夏天太阳太大了，正好遮阳还能发电,重庆,,重庆,别墅用户,高价值住宅,安装需求,70,A,False,medium,new,2026-07-19 22:21:39
PV_LEAD_D1641B36,xiaohongshu,成都郫都区花园洋房，一楼带院子能装光伏吗？想装在地面,四川成都,,四川成都,别墅用户,高价值住宅,安装需求,70,A,False,medium,new,2026-07-19 22:21:39
PV_LEAD_6D67D7CB,douyin,四川德阳广汉的，家里独栋三层，想装光伏省点电费，收益到底怎么样？,四川德阳,,四川德阳,别墅用户,别墅,安装需求,70,A,False,medium,new,2026-07-19 22:21:39
PV_LEAD_0949A9A0,douyin,重庆南岸区，开民宿的，两层楼屋顶想全部铺光伏，能不能给个报价？,重庆,,重庆,小商业用户,商业建筑,价格咨询,83,S,True,high,new,2026-07-19 22:21:39
PV_LEAD_E28FA3A2,douyin,贵阳观山湖区开棋牌室的，电费一个月五六千吃不消，光伏能省多少？,贵州贵阳,,贵州贵阳,小商业用户,普通住宅,,68,A,False,medium,new,2026-07-19 22:21:39
PV_LEAD_C44A158A,xiaohongshu,成都高新区住宅，家里跃层带露台，想装光伏发电顺便给露台做遮阳，有推荐的吗？,四川成都,,四川成都,别墅用户,高价值住宅,安装需求,70,A,False,medium,new,2026-07-19 22:21:39
PV_LEAD_9BBE00C7,douyin,宜宾翠屏区别墅区，装了中央空调夏天电费太高了，光伏能不能解决问题？加个微信聊聊,四川宜宾,,四川宜宾,别墅用户,别墅,安装需求|高意向,100,S,True,high,new,2026-07-19 22:21:39
PV_LEAD_477E04DB,kuaishou,遵义红花岗区的自建房准备重新装修，想顺便把光伏装了，不知道好不好维护,贵州遵义,,贵州遵义,家庭用户,农村自建房,安装需求,62,A,False,medium,new,2026-07-19 22:21:39
PV_LEAD_D9191FCD,douyin,成都温江区叠拼上叠，楼顶露台50平，装光伏大概多久能回本？,四川成都,,四川成都,别墅用户,高价值住宅,安装需求,70,A,False,medium,new,2026-07-19 22:21:39
PV_LEAD_3DDB25C1,douyin,南充顺庆区的小酒店，旺季电费一个月两万，装光伏划不划算？求真实数据,四川南充,,四川南充,小商业用户,商业建筑,安装需求,68,A,False,medium,new,2026-07-19 22:21:39
PV_LEAD_9B418AD3,xiaohongshu,重庆渝中区高层住宅，开发商说屋顶可以用，想装光伏但完全不懂，求科普,重庆,,重庆,家庭用户,普通住宅,安装需求,60,A,False,medium,new,2026-07-19 22:21:39
PV_LEAD_1483BBD0,douyin,泸州龙马潭区的餐厅，两个店面屋顶加起来200平，想装光伏降成本，有做过的吗？,四川泸州,,四川泸州,小商业用户,商业建筑,安装需求,83,S,True,high,new,2026-07-19 22:21:40
PV_LEAD_AD2F8FB2,douyin,成都青羊区别墅刚装修完，想做光伏发电玻璃那种，感觉比传统板好看，能做吗？,四川成都,,四川成都,别墅用户,别墅,安装需求,70,A,False,medium,new,2026-07-19 22:21:40
